num,Year,districts,Total,Totalu5,ZS
357,2022,ATHIEME,72884,9984,Lokossa-Athiémè  
358,2022,BOPA,124238,17325,Comè-Grand popo-Houèyogbé-Bopa  
359,2022,COME,103216,13637,Comè-Grand popo-Houèyogbé-Bopa  
360,2022,GRAND-POPO,74372,9611,Comè-Grand popo-Houèyogbé-Bopa  
361,2022,HOUEYOGBE,131480,17702,Comè-Grand popo-Houèyogbé-Bopa  
362,2022,LOKOSSA,135439,18464,Lokossa-Athiémè  
363,2022,ADJARRA,125713,18766,Akpro-missérété-Avrankou-Adjarra  
364,2022,ADJOHOUN,97195,14043,Adjohoun-Bonou-Dangbo  
365,2022,AGUEGUES,57502,8430,Porto-Novo-Sèmè-Kpodji-Aguégués  
366,2022,AKPRO-MISSERETE,135090,23862,Akpro-missérété-Avrankou-Adjarra  
367,2022,AVRANKOU,165232,26279,Akpro-missérété-Avrankou-Adjarra  
368,2022,BONOU,57227,8152,Adjohoun-Bonou-Dangbo  
369,2022,DANGBO,124425,19126,Adjohoun-Bonou-Dangbo  
370,2022,PORTO-NOVO,341071,43648,Porto-Novo-Sèmè-Kpodji-Aguégués  
371,2022,SEME-KPODJI,287367,42736,Porto-Novo-Sèmè-Kpodji-Aguégués  
372,2022,ADJA-OUERE,150047,22125,Pobè-Kétou-Adja-ouèrè  
373,2022,IFANGNI,143196,21482,Sakété-Ifangni  
374,2022,KETOU,203042,30909,Pobè-Kétou-Adja-ouèrè  
375,2022,POBE,159589,23279,Pobè-Kétou-Adja-ouèrè  
376,2022,SAKETE,147216,18898,Sakété-Ifangni  
377,2022,ABOMEY,119057,14946,Djidja-Abomey-Agbangnizoun  
378,2022,AGBANGNIZOUN,93615,13249,Djidja-Abomey-Agbangnizoun  
379,2022,BOHICON,221661,31428,Bohicon-Za-kpota-Zogbodomey  
380,2022,COVE,66128,8964,Covè-Zagnanado-Ouinhi  
381,2022,DJIDJA,159415,24186,Djidja-Abomey-Agbangnizoun  
